"Gmt.time","Open","High","Low","Close","Volume"
"15.01.2017 22:45:00.000",1.0102,1.01055,1.00946,1.01026,531400003.91
"15.01.2017 23:00:00.000",1.01041,1.01069,1.0094,1.00966,905850000.3816
"15.01.2017 23:15:00.000",1.00966,1.00992,1.00932,1.0094,542779998.7792
"15.01.2017 23:30:00.000",1.00936,1.00987,1.00909,1.00971,575370005.6077
"15.01.2017 23:45:00.000",1.00971,1.01026,1.00971,1.00992,609539999.0081
"16.01.2017 00:00:00.000",1.00991,1.01025,1.0098,1.01016,809789996.147
"16.01.2017 00:15:00.000",1.01016,1.01016,1.00953,1.00966,768219997.4062
"16.01.2017 00:30:00.000",1.00966,1.00984,1.0095,1.00974,665670003.8909
"16.01.2017 00:45:00.000",1.00975,1.00977,1.00934,1.00976,604830005.6459
"16.01.2017 01:00:00.000",1.00974,1.01016,1.00971,1.0099,633390001.2971
"16.01.2017 01:15:00.000",1.00989,1.01022,1.0098,1.00999,786529998.7793
"16.01.2017 01:30:00.000",1.00997,1.01059,1.00988,1.01058,741490007.4004
"16.01.2017 01:45:00.000",1.01058,1.01077,1.01018,1.01034,691800001.1445
"16.01.2017 02:00:00.000",1.01035,1.01116,1.01019,1.01074,904879995.3463
"16.01.2017 02:15:00.000",1.01077,1.01081,1.01017,1.01021,1008709995.2697
"16.01.2017 02:30:00.000",1.01022,1.01041,1.00966,1.01026,1422769987.1062
"16.01.2017 02:45:00.000",1.01025,1.0103,1.00988,1.01017,823520000.4578
"16.01.2017 03:00:00.000",1.01018,1.01062,1.01006,1.01039,979029998.7794
"16.01.2017 03:15:00.000",1.01039,1.01056,1.01027,1.0105,524829996.5858
"16.01.2017 03:30:00.000",1.0105,1.01124,1.01018,1.01102,837249999.9999
"16.01.2017 03:45:00.000",1.01101,1.01123,1.01086,1.011,545360005.3787
"16.01.2017 04:00:00.000",1.01101,1.0114,1.01098,1.01119,664810003.2807
"16.01.2017 04:15:00.000",1.01119,1.01119,1.01079,1.01079,592099994.6596
"16.01.2017 04:30:00.000",1.01079,1.01148,1.01073,1.01141,595590008.7357
"16.01.2017 04:45:00.000",1.01141,1.01142,1.01075,1.01075,741770002.3652
"16.01.2017 05:00:00.000",1.01077,1.01109,1.01046,1.01061,925900007.248
"16.01.2017 05:15:00.000",1.01062,1.01077,1.01007,1.01035,1087719993.5911
"16.01.2017 05:30:00.000",1.01037,1.01063,1.01017,1.01031,724670005.7984
"16.01.2017 05:45:00.000",1.01031,1.01052,1.01009,1.01026,1148410003.6621
"16.01.2017 06:00:00.000",1.01026,1.01042,1.00984,1.01009,1243469993.5911
"16.01.2017 06:15:00.000",1.01009,1.01029,1.00958,1.01028,795959999.0844
"16.01.2017 06:30:00.000",1.01029,1.01034,1.00902,1.0093,1408500007.6295
"16.01.2017 06:45:00.000",1.00931,1.01,1.00921,1.00994,884459997.1772
"16.01.2017 07:00:00.000",1.00996,1.01092,1.0094,1.01089,1765539997.101
"16.01.2017 07:15:00.000",1.01088,1.01124,1.01001,1.01034,1521029979.7059
"16.01.2017 07:30:00.000",1.01034,1.01082,1.01005,1.01012,1213300006.8663
"16.01.2017 07:45:00.000",1.01013,1.01035,1.00972,1.00996,1423239982.605
"16.01.2017 08:00:00.000",1.00993,1.01172,1.00962,1.01156,2515919998.169
"16.01.2017 08:15:00.000",1.01156,1.01195,1.01121,1.01164,2139289985.6566
"16.01.2017 08:30:00.000",1.01164,1.01241,1.01135,1.01225,1597229999.5422
"16.01.2017 08:45:00.000",1.01227,1.01339,1.0117,1.01324,2478440010.0708
"16.01.2017 09:00:00.000",1.01324,1.01339,1.01258,1.01258,1861759986.8773
"16.01.2017 09:15:00.000",1.01258,1.01363,1.01258,1.01355,1640319999.695
"16.01.2017 09:30:00.000",1.01357,1.01357,1.01235,1.01248,2228629997.2534
"16.01.2017 09:45:00.000",1.01249,1.01281,1.01212,1.01249,1412100006.1036
"16.01.2017 10:00:00.000",1.01251,1.01291,1.01217,1.01259,1909390007.0191
"16.01.2017 10:15:00.000",1.01259,1.01278,1.01225,1.01231,1283519992.8285
"16.01.2017 10:30:00.000",1.01231,1.0131,1.01222,1.01277,1496320007.3243
"16.01.2017 10:45:00.000",1.01274,1.01288,1.01244,1.01266,1480750011.4441
"16.01.2017 11:00:00.000",1.01268,1.01316,1.01199,1.01208,1587299995.4224
"16.01.2017 11:15:00.000",1.01207,1.0125,1.01182,1.01187,1444819993.9728
"16.01.2017 11:30:00.000",1.01186,1.0126,1.01167,1.01223,1792329990.387
"16.01.2017 11:45:00.000",1.01223,1.01246,1.01193,1.01208,1358410007.4769
"16.01.2017 12:00:00.000",1.01207,1.01223,1.01162,1.01201,1349140014.6486
"16.01.2017 12:15:00.000",1.012,1.01222,1.01186,1.01203,1353319995.88
"16.01.2017 12:30:00.000",1.01202,1.0123,1.01173,1.01194,1079029998.7792
"16.01.2017 12:45:00.000",1.01195,1.01215,1.01125,1.01139,1607969993.5911
"16.01.2017 13:00:00.000",1.01139,1.01139,1.01075,1.01085,1221470001.2208
"16.01.2017 13:15:00.000",1.01083,1.01098,1.01019,1.01085,1372740009.3078
"16.01.2017 13:30:00.000",1.01084,1.01129,1.01084,1.01099,1208859996.7957
"16.01.2017 13:45:00.000",1.01098,1.01181,1.01098,1.01164,937760000.2289
"16.01.2017 14:00:00.000",1.01166,1.0119,1.01133,1.01136,1301710002.8992
"16.01.2017 14:15:00.000",1.01136,1.01141,1.0107,1.01083,1312940006.2562
"16.01.2017 14:30:00.000",1.01082,1.01093,1.01005,1.01067,1967139987.9454
"16.01.2017 14:45:00.000",1.01067,1.01084,1.01023,1.01043,1378330017.09
"16.01.2017 15:00:00.000",1.01044,1.01133,1.01027,1.01112,1708569972.992
"16.01.2017 15:15:00.000",1.01112,1.01127,1.01041,1.01041,1204189987.1827
"16.01.2017 15:30:00.000",1.0104,1.01116,1.01035,1.01099,1150399997.7112
"16.01.2017 15:45:00.000",1.01099,1.01168,1.01079,1.01088,1725749979.0191
"16.01.2017 16:00:00.000",1.01087,1.01208,1.01073,1.01192,1649400001.5257
"16.01.2017 16:15:00.000",1.01192,1.0122,1.0115,1.01154,1006139999.3897
